title,description,url
,"Gaziantep’in Yıldızları Ödül Töreni'nde konuşan Hazine ve Maliye Bakanı Mehmet Şimşek 'Maliye politikasında disiplinle reformlara alan açmak istiyoruz. Cari açığı kalıcı olarak azaltacağız. Para politikasındaki normalleşme, altın ithalatında da azalmaya sebep olacak' dedi.",https://www.hurriyet.com.tr/ekonomi/bakan-simsek-cari-acigi-kalici-olarak-azaltacagiz-42374498
,"Dış Ekonomik İlişkiler Kurulu (DEİK) Yönetim Kurulu, MB Başkanı Erkan’la bir araya geldi. MB Başkanı Erkan, reel sektör görüşmeleri kapsamında DEİK Yönetim Kurulu toplantısına katıldı.",https://www.hurriyet.com.tr/ekonomi/deik-yonetim-kurulu-mb-baskani-erkani-agirladi-42374496
,"Bakan Uraloğlu, sektör temsilcileri ile yaplan görüşmeler sonrasında kuryeler ile ilgili bir yönetmelik değişikliğine hazırlandıklarını söyledi. Yeni yönetmeliğe göre her kuryeden yetki belgesi istenecek. Motorsiklere yaş sınırı getirilmesi planlanırken giyilen yeleklerde 'kurye' ibaresi bulunacak.",https://www.hurriyet.com.tr/ekonomi/motokuryelere-yeni-duzenleme-yolda-iste-aranan-sartlar-yas-yelek-yetki-belgesi-ekipman-42374454
,"Sanayi ve Teknoloji Bakanı Mehmet Fatih Kacır, Necip Fazıl Kısakürek Başakşehir Kültür Yaşam Parkı açılışı sonrasında sanayi üretimi ve işsizlik rakamlarını değerlendirdi.",https://www.hurriyet.com.tr/ekonomi/bakan-kacir-issizlik-11-yilin-en-dusuk-seviyesinde-42374408
,"Dünya üzerinde pazar liderliğini ABD'li Amazon'a kaptıran e-ticaret devi Alibaba, ülkesi Çin'de de rakibi PDD tarafından geçildi. Alibaba kurucusu Jack Ma'nın PDD'yi övmesinden hemen sonra PDD'nin büyüklüğü Alibaba'yı aştı.",https://www.hurriyet.com.tr/ekonomi/bir-zamanlarin-en-buyugu-alibaba-cinde-de-liderligi-kaybetti-42374385
,"Türkiye’nin ilk milli ve özgün SİHA’sı Bayraktar TB2, 750 bin uçuş saatini başarıyla tamamlayarak Türk havacılık tarihinde yeni bir rekora daha imza attı.",https://www.hurriyet.com.tr/ekonomi/bayraktar-tb2den-yeni-rekor-42374351
,"Türkiye Petrolleri Anonim Ortaklığı, Gabar'dan günde 30 bin varil petrolün çıktığını duyurdu.",https://www.hurriyet.com.tr/ekonomi/tpao-duyurdu-iste-gabardan-cikan-petrol-miktari-42374374
,"Ticaret Bakanı Ömer Bolat, 'Dış ticaret açığındaki azalışın, kasım ayında cari işlemler hesabına pozitif katkı sağlamayı sürdüreceğini bekliyoruz. Önümüzdeki süreçte yıllıklandırılmış bazda cari işlemler açığında düşüşün devam edeceğini tahmin ediyoruz' dedi.Ticaret Bakanı Ömer Bolat, 'Dış ticaret açığındaki azalışın, kasım ayında cari işlemler hesabına pozitif katkı sağlamayı sürdüreceğini bekliyoruz. Önümüzdeki süreçte yıllıklandırılmış bazda cari işlemler açığında düşüşün devam edeceğini tahmin ediyoruz' dedi.",https://www.hurriyet.com.tr/ekonomi/bakan-bolat-dusus-devam-edecek-42374342
