title,description,url
,"MKE Ankaragücü Başkanı Faruk Koca, Çaykur Rizespor ile oynanan mücadelenin bitiş düdüğüyle birlikte Halil Umut Meler'e yumruk attı. Yaşanan bu çirkin saldırının ardından Türk futbolundan olaya tepki yağdı.",https://www.cumhuriyet.com.tr/spor/turk-futbolundan-halil-umut-melere-yapilan-cirkin-saldiriya-tepki-2150597
,"MKE Ankaragücü - Çaykur Rizespor maçınının bitiş düdüğüyle hakem Halil Umut Meler'e saldıran Ankaragücü Başkanı Faruk Koca'nın, TFF tarafından Fair Play Ödülü'ne layık görüldüğü ortaya çıktı.",https://www.cumhuriyet.com.tr/spor/hakeme-saldirida-ortaya-cikan-ayrinti-fair-play-odulu-almis-2150599
,Beklenen Altın Küre adaylıkları sonunda açıklandı. 2024 yılında gerçekleşecek olan 81. Altın Küre Ödül töreninde adaylıklar belli oldu. İşte adaylar...,https://www.cumhuriyet.com.tr/kultur-sanat/altin-kure-2024-adayliklari-aciklandi-succession-sasirtmadi-barbie-ve-2150600
,"Ankaragücü Kulübü Başkanı Faruk Koca, Çaykur Rizespor maçı sonrası hakem Halil Umut Meler'e saha içinde yumruk attı. Yaşanan çirkin olayın ardından Brezilyalı futbolcu Josef de Souza’nın 2022 yılındaki sözleri gündem oldu.",https://www.cumhuriyet.com.tr/spor/hakem-halil-umut-melere-saldiri-sonrasi-josef-de-souzanin-2022-2150601
,"Günlük yaşantımızda sıkça karşılaştığımız kelimelerden biri olan 'rölanti', Türkçe dilinde çeşitli anlamlar içermektedir. Bu kelimenin temel anlamı, bir işin ya da bir sürecin duraksaması, geçici olarak durması ya da bekleme durumudur.",https://www.karar.com/hayat-haberleri/rolanti-ne-demek-1817299
,"Ayak topuğundan çıkan şeyi görenler şaşkınlığa uğradı! Böyle bir şey görülmedi! Tüyleri diken diken eden görüntünün adresi Muğla! Doktorlar bile şok oldu! 37 santim uzunluğunda, 5 parça olarak...",https://www.karar.com/guncel-haberler/ayak-topugundan-oyle-bir-sey-cikti-ki-gorenlerin-tuyleri-diken-diken-1817180
,"Spor, sadece rekabetin değil, aynı zamanda heyecanın, tutkunun ve adaletin de bir sahnesidir. Bu sahnenin en ilginç anlarından biri de 'rövanş' müsabakalarıdır. Rövanş, bir önceki müsabakanın sonucunun tekrarlanması veya tersine çevrilmesi amacıyla düzenlenen bir karşılaşmadır. Bu kavram, sporun derinliklerine inmek, haksızlıkları düzeltmek ve zaferin gerçek anlamını bulmak için bir fırsat sunar.",https://www.karar.com/hayat-haberleri/rovans-ne-demek-1817300
,"MKE Ankaragücü Kulübü Başkanı Koca, Çaykur Rizespor maçından sonra hakem Meler'e sahanın içinde yumruk attı. Cumhurbaşkanı Erdoğan, sosyal medya hesabından saldırıya ilişkin 'Meler’e yapılan saldırıyı kınıyor, kendisine geçmiş olsun dileklerimi iletiyorum. Spor şiddetle bağdaşmaz. Şiddetin Türk sporunun içinde barınmasına asla izin vermeyeceğiz.' dedi.",https://www.karar.com/guncel-haberler/son-dakika-erdogandan-halil-umut-melere-gecmis-olsun-mesaji-siddetin-1817301
