title,description,url
,81. Altın Küre Ödülleri töreni 7 Ocak 2024 tarihinde gerçekleştirilecek ve adayların tam listesi bugün açıklandı. TV ve film odaklı ödüllerde müzik dünyasından bazı önemli adayların yer alması dikkat çekiyor.,https://www.tamindir.com/haber/altin-kure-adaylari-belli-oldu_84986/
,"The Day Before, uzun bir beklenti sürecinin ardından geçtiğimiz hafta PC platformunda piyasaya sürüldü ve kısa sürede oyunculardan gelen olumsuz tepkilerle karşılaştı.",https://www.tamindir.com/haber/the-day-before-studyosu-kapaniyor_84985/
,Rux Robot barındırdığı ChatGPT desteği sayesinde kullanıcı ile sürekli diyaloğa girebiliyor ve kendisine kişilik geliştirebiliyor. Uygulama geliştirme ekosistemi de mevcut.,https://www.donanimhaber.com/rux-robot-bagis-destegi-ariyor--171857
,CES 2024 etkinliğine az bir zaman kala Asus'un oyun bölümü ROG'dan heyecanlandıran paylaşım geldi. Beklenen oyuncu telefonu ROG Phone 8'in tanıtım tarihi belli oldu.,https://www.donanimhaber.com/asus-rog-phone-8-ne-zaman-cikacak-iste-tanitim-tarihi--171861
,"QR kodlar internet sitelerinden restoranlardaki menülere kadar gelmiş durumda. Ancak FTC, akıllıca yerleştirilmiş QR kodlar ile insanların dolandırılabileceği konusunda uyarıyor.",https://www.donanimhaber.com/qr-kodlara-dikkat-dolandirilabilirsiniz--171849
,"Valve'ın popüler nişancı oyunu Counter-Strike 2'de keşfedilen bir güvenlik açığı nedeniyle oyuncular, oyunu oynamamaları konusunda uyarılıyor.",https://www.tamindir.com/haber/cs2-go-guvenlik-acigi_84984/
,"Apple, iPhone için iOS 17.2, iPad için iPadOS 17.2 güncellemesini yayınladı. Yeni iOS 17 sürümü, Günlük uygulaması ile birlikte AirDrop, Bekleme modu ve Apple Müzik'e yeni özellikler getiriyor.",https://www.donanimhaber.com/ios-17-2-cikti-iste-iphone-lara-gelen-yenilikler--171860
,"Yapay zeka, tüm dünya genelinde yeni bir yarış ortamı oluşturmuş durumda. Ancak teknolojinin büyük faydalarına rağmen endüstrinin kilit firması ARM’ın başındaki isim oldukça endişeli.",https://www.donanimhaber.com/gelecekte-yapay-zekanin-kontorlunun-kaybedilmesinden-korkuluyor--171844
